"Collar","GeolFrom","GeolTo","Chk","AlterationComment","AlterationType1","AlterationTypeIntensity1","AlterationTypeStyle1","AlterationType2","AlterationTypeIntensity2","AlterationTypeStyle2","AlterationType3","AlterationTypeIntensity3","AlterationTypeStyle3","AlterationType4","AlterationTypeIntensity4","AlterationTypeStyle4","AlterationType5","AlterationTypeIntensity5","AlterationTypeStyle5","MetallurgicalType"
"EVE-20-01","0","9.1","0","","Chloritic","Strong","No data","Propylitic","Moderate","No data","Silicification","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","9.1","17.7","0","","Chloritic","Moderate","No data","Propylitic","Weak","No data","Sericitic","Moderate","No data","Silicification","Moderate","No data","No data","No data","No data","No data"
"EVE-20-01","17.7","20.7","0","","Chloritic","Strong","No data","Propylitic","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","20.7","23","0","","Chloritic","Moderate","No data","Propylitic","Moderate","No data","Sericitic","Moderate","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","23","26.4","0","","Chloritic","Moderate","No data","Propylitic","Weak","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","26.4","28.3","0","","Chloritic","Strong","No data","Propylitic","Strong","No data","Sericitic","Strong","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","28.3","29.05","0","","Sericitic","Moderate","No data","Chloritic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","29.05","32.8","0","","Chloritic","Moderate","No data","Propylitic","Moderate","No data","Sericitic","Moderate","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","32.8","33.35","0","","Sericitic","Moderate","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","33.35","39.9","0","","Sericitic","Strong","No data","Chloritic","Moderate","No data","Propylitic","Moderate","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","39.9","42.5","0","","Sericitic","Moderate","No data","Argillic","Moderate","No data","Silicification","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","42.5","48.05","0","","Propylitic","Moderate","No data","Chloritic","Weak","No data","Argillic","Weak","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data"
"EVE-20-01","48.05","50.7","0","","Chloritic","Weak","No data","Argillic","Weak","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","50.7","65.55","0","","Sericitic","Moderate","No data","Propylitic","Weak","No data","Chloritic","Weak","No data","Argillic","Weak","No data","Silicification","Weak","No data","No data"
"EVE-20-01","65.55","71.25","0","","Sericitic","Moderate","No data","Propylitic","Weak","No data","Chloritic","Weak","No data","Argillic","Weak","No data","Silicification","Weak","No data","No data"
"EVE-20-01","71.25","79.25","0","","Sericitic","Moderate","No data","Argillic","Moderate","No data","Chloritic","Moderate","No data","Propylitic","Moderate","No data","No data","No data","No data","No data"
"EVE-20-01","79.25","92.9","0","","Sericitic","Strong","No data","Argillic","Strong","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","92.9","109.65","0","","Sericitic","Moderate","No data","Argillic","Moderate","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","109.65","113.35","0","","Sericitic","Moderate","No data","Argillic","Moderate","No data","Propylitic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","113.35","127.25","0","","Argillic","Strong","No data","Chloritic","Moderate","No data","Sericitic","Moderate","No data","Propylitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","127.25","139.7","0","","Sericitic","Strong","No data","Chloritic","Strong","No data","Propylitic","Moderate","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-01","139.7","154.85","0","","Sericitic","Strong","No data","Chloritic","Moderate","No data","Propylitic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","154.85","155.2","0","","Sericitic","Strong","No data","Chloritic","Strong","No data","Propylitic","Strong","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-02","0","23.65","0","","Chloritic","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","23.65","29","0","","Chloritic","Moderate","No data","Sericitic","Moderate","No data","Argillic","Moderate","No data","Propylitic","Moderate","No data","No data","No data","No data","No data"
"EVE-20-02","29","47.85","0","","Propylitic","Strong","No data","Sericitic","Moderate","No data","Chloritic","Moderate","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-02","47.85","56.25","0","","Propylitic","Moderate","No data","Sericitic","Moderate","No data","Chloritic","Moderate","No data","Argillic","Moderate","No data","No data","No data","No data","No data"
"EVE-20-02","56.25","62.25","0","","Sericitic","Moderate","No data","Argillic","Moderate","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","Silicification","Weak","No data","No data"
"EVE-20-02","62.25","68.05","0","","Propylitic","Moderate","No data","Sericitic","Moderate","No data","Chloritic","Weak","No data","Argillic","Weak","No data","Silicification","Weak","No data","No data"
"EVE-20-02","68.05","76.65","0","","Sericitic","Strong","No data","Argillic","Strong","No data","Chloritic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","76.65","79.85","0","","Sericitic","Moderate","No data","Chloritic","Moderate","No data","Argillic","Moderate","No data","Propylitic","Moderate","No data","No data","No data","No data","No data"
"EVE-20-02","79.85","103.55","0","","Sericitic","Moderate","No data","Chloritic","Moderate","No data","Propylitic","Moderate","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-02","103.55","143.45","0","","Propylitic","Strong","No data","Chloritic","Strong","No data","Sericitic","Moderate","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-02","143.45","152.2","0","","Propylitic","Strong","No data","Chloritic","Moderate","No data","Sericitic","Moderate","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-02","152.2","155.2","0","","Sericitic","Moderate","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-02","155.2","163.85","0","","Chloritic","Moderate","No data","Propylitic","Moderate","No data","Sericitic","Moderate","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-02","163.85","179.35","0","","Sericitic","Moderate","No data","Chloritic","Moderate","No data","Propylitic","Moderate","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-02","179.35","179.45","0","","Propylitic","Strong","No data","Chloritic","Strong","No data","Sericitic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","179.45","200.25","0","","Propylitic","Strong","No data","Chloritic","Strong","No data","Sericitic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","0","6.7","0","Moderate fracturing. Fractures 65 degrees filled by Goethite greater than hematite.","Sericitic","Moderate","No data","Argillic","Moderate","No data","Propylitic","Moderate","No data","Chloritic","Weak","No data","Silicification","Weak","No data","No data"
"EVE-20-03","6.7","8.3","0","","Argillic","Moderate","No data","Sericitic","Weak","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-03","8.3","20.2","0","","Propylitic","Moderate","No data","Sericitic","Weak","No data","Argillic","Weak","No data","Chloritic","Weak","No data","Silicification","Weak","No data","No data"
"EVE-20-03","20.2","22.1","0","","Argillic","Moderate","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","22.1","32.05","0","","Argillic","Strong","No data","Sericitic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","32.05","43.25","0","","Sericitic","Weak","No data","Argillic","Weak","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-03","43.25","51.1","0","","Argillic","Strong","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","51.1","60.1","0","","Sericitic","Weak","No data","Argillic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","60.1","76.15","0","","Sericitic","Weak","No data","Argillic","Weak","No data","Bleached","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","76.15","84.9","0","","Argillic","Moderate","No data","Sericitic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","84.9","92.25","0","","Silicification","Weak","No data","Sericitic","Weak","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-03","92.25","109.25","0","","Sericitic","Moderate","No data","Argillic","Moderate","No data","Propylitic","Moderate","No data","Chloritic","Weak","No data","No data","No data","No data","No data"
"EVE-20-03","109.25","113.15","0","","Argillic","Strong","No data","Sericitic","Moderate","No data","Propylitic","Moderate","No data","Chloritic","Weak","No data","No data","No data","No data","No data"
"EVE-20-03","113.15","123.85","0","","Argillic","Moderate","No data","Propylitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","123.85","124.85","0","","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","124.85","136","0","","Chloritic","Moderate","No data","Propylitic","Moderate","No data","Sericitic","Weak","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-03","136","139.45","0","","Chloritic","Strong","No data","Propylitic","Strong","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","139.45","149.25","0","","Chloritic","Moderate","No data","Propylitic","Strong","No data","Argillic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","149.25","153.4","0","","Propylitic","Strong","No data","Chloritic","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","153.4","161.25","0","","Propylitic","Strong","No data","Chloritic","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","161.25","165.2","0","","Chloritic","Strong","No data","Propylitic","Strong","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","165.2","174.45","0","","Chloritic","Strong","No data","Propylitic","Strong","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","174.45","177.95","0","","Chloritic","Strong","No data","Propylitic","Strong","No data","Sericitic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","177.95","185.25","0","","Chloritic","Strong","No data","Propylitic","Strong","No data","Sericitic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","185.25","194.25","0","","Chloritic","Strong","No data","Propylitic","Strong","No data","Sericitic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-04","0","10","0","","Silicification","Weak","Veinlets","Sericitic","Weak","No data","Argillic","Weak","No data","Chloritic","Weak","No data","Phyllic","Weak","No data","No data"
"EVE-20-04","10","13.7","0","","Silicification","Strong","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-04","13.7","26.9","0","","Silicification","Moderate","Veinlets","Argillic","Moderate","No data","Chloritic","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-04","26.9","40.35","0","","Silicification","Strong","Veinlets","Propylitic","Strong","No data","Sericitic","Weak","No data","Chloritic","Weak","No data","No data","No data","No data","No data"
"EVE-20-04","40.35","45.45","0","","Silicification","Strong","Veinlets","Propylitic","Strong","No data","Argillic","Moderate","No data","Chloritic","Moderate","No data","Phyllic","Moderate","No data","No data"
"EVE-20-04","45.45","55.9","0","","Silicification","Strong","Veinlets","Propylitic","Strong","No data","Phyllic","Moderate","No data","Argillic","Moderate","No data","Chloritic","Moderate","No data","No data"
"EVE-20-04","55.9","66.15","0","","Silicification","Extreme","No data","Propylitic","Strong","No data","Sericitic","Moderate","No data","Chloritic","Moderate","No data","Argillic","Weak","No data","No data"
"EVE-20-04","66.15","70.25","0","","Silicification","Strong","No data","Chloritic","Strong","No data","Propylitic","Strong","No data","Sericitic","Moderate","No data","No data","No data","No data","No data"
"EVE-20-04","70.25","78.6","0","","Propylitic","Strong","No data","Silicification","Moderate","No data","Sericitic","Moderate","No data","Chloritic","Moderate","No data","Argillic","Weak","No data","No data"
"EVE-20-04","78.6","80.05","0","","Silicification","Strong","No data","Sericitic","Moderate","No data","Argillic","Moderate","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data"
"EVE-20-04","80.05","87.95","0","","Silicification","Strong","No data","Sericitic","Moderate","No data","Argillic","Weak","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data"
"EVE-20-04","87.95","90.2","0","","Argillic","Extreme","No data","Sericitic","Moderate","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-04","90.2","99.65","0","","Argillic","Strong","No data","Propylitic","Strong","No data","Sericitic","Moderate","No data","Chloritic","Weak","No data","Silicification","Weak","No data","No data"
"EVE-20-04","99.65","100.85","0","","Argillic","Extreme","No data","Sericitic","Weak","No data","Chloritic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-05","0","4.95","0","","Argillic","Strong","No data","Sericitic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","4.95","20.94","0","","Propylitic","Moderate","No data","Sericitic","Weak","No data","Chloritic","Weak","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-05","20.94","22.95","0","","Propylitic","Moderate","No data","Argillic","Moderate","No data","Chloritic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","22.95","29.65","0","","Propylitic","Moderate","No data","Chloritic","Weak","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-05","29.65","31.8","0","","Silicification","Moderate","No data","Argillic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","31.8","34.1","0","","Argillic","Moderate","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","34.1","36.4","0","","Propylitic","Moderate","No data","Chloritic","Weak","No data","Argillic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","36.4","39.1","0","","Propylitic","Moderate","No data","Argillic","Weak","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data"
"EVE-20-05","39.1","49.5","0","","Propylitic","Moderate","No data","Silicification","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","49.5","53.7","0","","Argillic","Moderate","No data","Silicification","Moderate","No data","Propylitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","53.7","59","0","","Propylitic","Moderate","No data","Silicification","Moderate","No data","Sericitic","Weak","No data","Argillic","Weak","No data","No data","No data","No data","No data"
"EVE-20-05","59","61.2","0","","Argillic","Moderate","No data","Silicification","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","61.2","63.15","0","","Argillic","Strong","No data","Sericitic","Moderate","No data","Silicification","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","63.15","90.95","0","","Bleached","Moderate","No data","Silicification","Moderate","No data","Argillic","Weak","No data","Sericitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-05","90.95","94.9","0","","Argillic","Strong","No data","Propylitic","Weak","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","94.9","103.85","0","","Argillic","Strong","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","103.85","106.95","0","","Argillic","Strong","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","106.95","115.4","0","","Argillic","Strong","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","115.4","118.65","0","","Argillic","Strong","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","118.65","122.85","0","","Argillic","Moderate","No data","Propylitic","Weak","No data","Silicification","Weak","No data","Sericitic","Weak","No data","No data","No data","No data","No data"
"EVE-20-05","122.85","125.2","0","","Argillic","Strong","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","125.2","128.3","0","","Argillic","Moderate","No data","Propylitic","Weak","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","128.3","131.85","0","","Argillic","Strong","No data","Propylitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","131.85","134.65","0","","Argillic","Strong","No data","Sericitic","Weak","No data","Silicification","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","134.65","136.35","0","","Silicification","Moderate","No data","Propylitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","136.35","139.95","0","","Argillic","Moderate","No data","Silicification","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","139.95","149.45","0","","Silicification","Moderate","No data","Sericitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-05","149.45","166.95","0","","Silicification","Moderate","No data","Sericitic","Weak","No data","Propylitic","Weak","No data","No data","No data","No data","No data","No data","No data","No data"