"Collar","GeolFrom","GeolTo","Chk","Mineral_Comments","No_Qtz_Veins","Mineral1","Mineral_Style1","Mineral1_Percent","Mineral2","Mineral_Style2","Mineral2_Percent","Mineral3","Mineral_Style3","Mineral3_Percent","Mineral4","Mineral_Style4","Mineral4_Percent","Mineral5","Mineral_Style5","Mineral5_Percent","Mineral6","Mineral_Style6","Mineral6_Percent","Mineral7","Mineral_Style7","Mineral7_Percent","Mineral8","Mineral_Style8","Mineral8_Percent","Mineral9","Mineral_Style9","Mineral9_Percent","Mineral10","Mineral_Style10","Mineral10_Percent","Mineral11","Mineral_Style11","Mineral11_Percent","Mineral12","Mineral_Style12","Mineral12_Percent"
"EVE-20-01","0","9.1","0","Qtz clear veinlets","-9999","Quartz","No data","0.5","Hematite","No data","0","Goethite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","9.1","17.7","0","","-9999","Quartz","No data","0.5","Goethite","No data","0","Hematite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","17.7","20.7","0","","-9999","Quartz","No data","0.5","Hematite","No data","0","Goethite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","20.7","23","0","","-9999","Quartz","No data","0.9","Hematite","No data","0","Goethite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","23","26.4","0","","-9999","Quartz","No data","0.1","Goethite","No data","0","Hematite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","26.4","28.3","0","oxided pyrite","-9999","Quartz","No data","0.5","Hematite","No data","0","Goethite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","28.3","29.05","0","oxided pyrite","-9999","Quartz","No data","90","Hematite","No data","0","Goethite","No data","0","ManganeseOxides","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","29.05","32.8","0","oxided pyrite","-9999","Quartz","No data","0.9","Hematite","No data","0","Goethite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","32.8","33.35","0","oxided pyrite","-9999","Quartz","No data","30","Hematite","No data","0","Goethite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","33.35","39.9","0","oxided pyrite","-9999","Quartz","No data","0.1","Hematite","No data","0","Goethite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","39.9","42.5","0","oxided pyrite","-9999","Quartz","No data","10","Hematite","No data","0","Goethite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","42.5","48.05","0","oxided pyrite","-9999","Quartz","No data","0.1","Hematite","No data","0","Goethite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","48.05","50.7","0","oxided pyrite","-9999","Quartz","No data","5","Hematite","No data","0","Goethite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","50.7","65.55","0","oxided pyrite","-9999","Quartz","No data","0.9","Hematite","No data","0","Goethite","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","65.55","71.25","0","oxided pyrite","-9999","Quartz","No data","2","Hematite","No data","0","Goethite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","71.25","79.25","0","oxided pyrite","-9999","Quartz","No data","2","Hematite","No data","0","Goethite","No data","0","ManganeseOxides","No data","0","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","79.25","92.9","0","oxided pyrite","-9999","Quartz","No data","2","Pyrite","No data","0.1","Hematite","No data","0","Goethite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","92.9","109.65","0","","-9999","Quartz","No data","1","Pyrite","No data","3","Hematite","No data","0","Goethite","No data","0","Galena","No data","0.01","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","109.65","113.35","0","","-9999","Quartz","No data","0.5","Pyrite","No data","1","Hematite","No data","0","Goethite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","113.35","127.25","0","","-9999","Quartz","No data","3","Pyrite","No data","3","Calcite","No data","0","Hematite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","127.25","139.7","0","","-9999","Quartz","No data","2","Pyrite","No data","2","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","139.7","154.85","0","","-9999","Pyrite","No data","1","Quartz","No data","0.9","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"
"EVE-20-01","154.85","155.2","0","oxided pyrite","-9999","Quartz","No data","0.9","Pyrite","No data","0.5","Calcite","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0","No data","No data","0"