"Collar","GeolFrom","GeolTo","Chk","RQDraw","RecoveryRaw","Recovery","RQD","Longest_Piece","Rock_Strength","Hardness","Comments"
"EVE-20-01","0","2.2","0","0","0.4","18.18","0.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","2.2","5.2","0","0.36","2.48","82.67","12.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","5.2","8.2","0","1","2.45","81.67","33.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","8.2","9.2","0","0.68","0.98","98.00","68.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","9.2","9.8","0","0","0.3","50.00","0.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","9.8","10.15","0","0","0","0.00","0.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","10.15","10.55","0","0","0.25","62.50","0.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","10.55","11.4","0","0.1","0.8","94.12","12.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","11.4","12.25","0","0","0.6","70.59","0.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","12.25","13.2","0","0.1","0.7","73.68","11.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","13.2","13.55","0","0.1","0.3","85.71","29.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","13.55","14.15","0","0.4","0.55","91.67","67.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","14.15","15.55","0","0.28","1","71.43","20.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","15.55","17.1","0","0.2","1.4","90.32","13.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","17.1","18.6","0","0.75","1.5","100.00","50.00","0","R2_Weak","No data",""
"EVE-20-01","18.6","20.2","0","0.58","1.5","93.75","36.00","0","R2_Weak","No data",""
"EVE-20-01","20.2","22.1","0","0.7","1.6","84.21","37.00","0","R2_Weak","No data",""
"EVE-20-01","22.1","24.2","0","1.05","2","95.24","50.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","24.2","26.2","0","0.9","2","100.00","45.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","26.2","29.2","0","1.42","2.75","91.67","47.00","0","R2_Weak","No data",""
"EVE-20-01","29.2","31.8","0","0.38","1.6","61.54","15.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","31.8","32.2","0","0.1","0.3","75.00","25.00","0","R3_Moderately_Weak","No data",""
"EVE-20-01","32.2","35.2","0","1.9","2.8","93.33","63.00","0","R2_Weak","No data",""
"EVE-20-01","35.2","38.2","0","2","2.8","93.33","67.00","0","R2_Weak","No data",""
"EVE-20-01","38.2","41.2","0","1.4","2.85","95.00","47.00","0","R1_Very_Weak","No data",""
"EVE-20-01","41.2","42.5","0","0","1.05","80.77","0.00","0","R1_Very_Weak","No data",""
"EVE-20-01","42.5","44.2","0","0.1","1.2","70.59","6.00","0","R2_Weak","No data",""
"EVE-20-01","44.2","46.1","0","0.68","1.6","84.21","36.00","0","R2_Weak","No data",""
"EVE-20-01","46.1","47.2","0","0.26","0.7","63.64","24.00","0","R2_Weak","No data",""
"EVE-20-01","47.2","49.6","0","0.3","1.7","70.83","13.00","0","R2_Weak","No data",""
"EVE-20-01","49.6","52.05","0","0.8","2.3","93.88","33.00","0","R2_Weak","No data",""
"EVE-20-01","52.05","53.2","0","0.55","1.05","91.30","48.00","0","R2_Weak","No data",""
"EVE-20-01","53.2","55.85","0","0.49","2.35","88.68","18.00","0","R2_Weak","No data",""
"EVE-20-01","55.85","59.05","0","1.35","3.1","96.88","42.00","0","R2_Weak","No data",""
"EVE-20-01","59.05","62.2","0","0.81","2.75","87.30","26.00","0","R2_Weak","No data",""
"EVE-20-01","62.2","65.2","0","0.83","2.2","73.33","28.00","0","R2_Weak","No data",""
"EVE-20-01","65.2","67.4","0","0.72","2.05","93.18","33.00","0","R2_Weak","No data",""
"EVE-20-01","67.4","69","0","0.17","1.3","81.25","11.00","0","R2_Weak","No data",""
"EVE-20-01","69","71.2","0","1.4","2.1","95.46","64.00","0","R2_Weak","No data",""
"EVE-20-01","71.2","74.2","0","1.09","2.6","86.67","36.00","0","R2_Weak","No data",""
"EVE-20-01","74.2","77.2","0","0.31","2.25","75.00","10.00","0","R2_Weak","No data",""
"EVE-20-01","77.2","80.2","0","0.81","2.4","80.00","27.00","0","R2_Weak","No data",""
"EVE-20-01","80.2","83.2","0","0.45","2.6","86.67","15.00","0","R1_Very_Weak","No data",""
"EVE-20-01","83.2","86.2","0","0.89","2.8","93.33","30.00","0","R1_Very_Weak","No data",""
"EVE-20-01","86.2","89.2","0","1.5","2.8","93.33","50.00","0","R1_Very_Weak","No data",""
"EVE-20-01","89.2","92.2","0","2.34","2.85","95.00","78.00","0","R1_Very_Weak","No data",""
"EVE-20-01","92.2","95.2","0","2.14","2.85","95.00","71.00","0","R1_Very_Weak","No data",""
"EVE-20-01","95.2","98.2","0","2.01","2.9","96.67","67.00","0","R1_Very_Weak","No data",""
"EVE-20-01","98.2","101.2","0","1.18","2.7","90.00","39.00","0","R1_Very_Weak","No data",""
"EVE-20-01","101.2","104.2","0","1.68","2.8","93.33","56.00","0","R1_Very_Weak","No data",""
"EVE-20-01","104.2","107.2","0","0.88","2.75","91.67","29.00","0","R1_Very_Weak","No data",""
"EVE-20-01","107.2","110.2","0","1.17","2.7","90.00","39.00","0","R1_Very_Weak","No data",""
"EVE-20-01","110.2","113.2","0","0.7","2.95","98.33","23.00","0","R1_Very_Weak","No data",""
"EVE-20-01","113.2","116.2","0","1.7","2.8","93.33","57.00","0","R1_Very_Weak","No data",""
"EVE-20-01","116.2","119.2","0","0.89","2.6","86.67","30.00","0","R1_Very_Weak","No data",""
"EVE-20-01","119.2","122.2","0","0.49","2.7","90.00","16.00","0","R1_Very_Weak","No data",""
"EVE-20-01","122.2","123.9","0","1.38","1.5","88.24","81.00","0","R1_Very_Weak","No data",""
"EVE-20-01","123.9","125.2","0","1.28","1.15","88.46","98.00","0","R1_Very_Weak","No data",""
"EVE-20-01","125.2","128.2","0","1.06","2.75","91.67","35.00","0","R1_Very_Weak","No data",""
"EVE-20-01","128.2","131.2","0","1.11","2.9","96.67","37.00","0","R1_Very_Weak","No data",""
"EVE-20-01","131.2","134.2","0","1.5","2.9","96.67","50.00","0","R1_Very_Weak","No data",""
"EVE-20-01","134.2","137.2","0","1.45","2.75","91.67","48.00","0","R1_Very_Weak","No data",""
"EVE-20-01","137.2","140.2","0","1.42","2.85","95.00","47.00","0","R1_Very_Weak","No data",""
"EVE-20-01","140.2","143.2","0","1.3","2.75","91.67","43.00","0","R2_Weak","No data",""
"EVE-20-01","143.2","146.2","0","1.28","2.8","93.33","43.00","0","R2_Weak","No data",""
"EVE-20-01","146.2","149.2","0","1.35","2.95","98.33","45.00","0","R2_Weak","No data",""
"EVE-20-01","149.2","152.2","0","1.13","2.9","96.67","38.00","0","R2_Weak","No data",""
"EVE-20-01","152.2","155.2","0","1.6","2.9","96.67","53.00","0","R2_Weak","No data",""