"Collar","Sample ID","Geol_From","Geol_To","Thickness","Chk","Comments","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Drill_Sample_Type","Sample_Mass","Sampler","Samp_Date","Ag_ppm_Ag-AA61","Ag_ppm_ME-MS61","Al_%_ME-MS61","As_ppm_ME-MS61","Au_ppm_Au-AA24","Ba_ppm_ME-MS61","Be_ppm_ME-MS61","Bi_ppm_ME-MS61","Ca_%_ME-MS61","Cd_ppm_ME-MS61","Ce_ppm_ME-MS61","Co_ppm_ME-MS61","Cr_ppm_ME-MS61","Cs_ppm_ME-MS61","Cu_ppm_ME-MS61","Fe_%_ME-MS61","Ga_ppm_ME-MS61","Ge_ppm_ME-MS61","Hf_ppm_ME-MS61","In_ppm_ME-MS61","K_%_ME-MS61","La_ppm_ME-MS61","Li_ppm_ME-MS61","Mg_%_ME-MS61","Mn_ppm_ME-MS61","Mo_ppm_ME-MS61","Na_%_ME-MS61","Nb_ppm_ME-MS61","Ni_ppm_ME-MS61","P_ppm_ME-MS61","Pb_ppm_ME-MS61","Rb_ppm_ME-MS61","Re_ppm_ME-MS61","RecvdWt_kg_WEI-21","S_%_ME-MS61","Sb_ppm_ME-MS61","Sc_ppm_ME-MS61","Se_ppm_ME-MS61","Sn_ppm_ME-MS61","Sr_ppm_ME-MS61","Ta_ppm_ME-MS61","Te_ppm_ME-MS61","Th_ppm_ME-MS61","Ti_%_ME-MS61","Tl_ppm_ME-MS61","U_ppm_ME-MS61","V_ppm_ME-MS61","W_ppm_ME-MS61","Y_ppm_ME-MS61","Zn_ppm_ME-MS61","Zr_ppm_ME-MS61"
"EVE-20-01","779202","0","2.2","2.2","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.025","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.005","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","3.03","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779203","2.2","3.7","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.12","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","2.12","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779204","3.7","5.2","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.155","Aristeo.Nuñez","09/03/2020","0.6","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","2.16","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779205","5.2","6.5","1.3","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.97","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","3.97","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779206","6.5","7.8","1.3","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.96","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.010","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","2.96","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779207","7.8","9.1","1.3","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.895","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","4.90","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779208","9.1","9.8","0.7","0.35","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","1.95","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.005","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","1.20","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779209","10.15","10.8","0.65","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","1.35","Aristeo.Nuñez","09/03/2020","0.8","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","1.35","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779210","10.8","11.4","0.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","1.805","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","1.80","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779211","11.4","13","1.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.145","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","4.14","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779212","13","14.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.575","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","3.57","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779213","14.5","16","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.925","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","3.93","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779214","16","17.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.095","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","4.09","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779215","17.5","19","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_QuarterSawn","2.692","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.006","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","2.62","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779217","19","20.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.23","Aristeo.Nuñez","09/03/2020","0.25","No data","No data","No data","0.0025","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","4.22","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779218","20.5","22","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.59","Aristeo.Nuñez","09/03/2020","0.8","No data","No data","No data","0.056","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","4.59","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","779219","22","23.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.02","Aristeo.Nuñez","09/03/2020","0.25","0.48","7.43","10.5","0.010","930","1.30","0.04","3.79","0.12","34.0","18.2","17","6.44","1.6","4.27","17.30","0.08","0.9","0.048","2.25","14.8","15.5","1.69","901","0.40","1.69","6.5","14.5","770","9.8","76.7","0.001","4.02","0.005","0.70","10.4","0.5","1.0","242","0.38","0.025","3.02","0.307","0.75","0.6","109","6.2","10.5","89","34.3"
"EVE-20-01","779220","23.5","25.1","1.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.46","Aristeo.Nuñez","09/03/2020","0.25","0.55","7.45","21.2","0.009","820","1.28","0.07","3.82","0.11","31.7","16.0","17","7.45","1.1","3.93","17.35","0.08","0.9","0.046","2.55","12.8","14.3","1.41","866","0.43","1.55","6.0","14.9","730","11.2","98.2","0.001","5.45","0.005","0.96","10.4","0.5","1.0","230","0.35","0.05","2.77","0.289","0.83","0.5","91","7.0","8.9","75","29.8"
"EVE-20-01","779221","25.1","26.7","1.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.77","Aristeo.Nuñez","09/03/2020","0.25","0.46","7.54","43.5","0.0025","800","1.27","0.12","3.60","0.11","33.6","13.5","11","8.61","1.0","3.54","17.70","0.10","0.8","0.049","3.08","14.1","14.1","1.34","801","0.25","1.06","6.3","10.8","730","12.8","114.0","0.001","5.76","0.005","2.34","9.3","0.5","1.0","174.0","0.39","0.025","3.06","0.272","0.96","0.6","50","3.7","9.3","71","28.7"
"EVE-20-01","779222","26.7","28.3","1.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.39","Aristeo.Nuñez","09/03/2020","0.6","0.70","8.28","9.4","0.020","660","1.67","0.11","3.93","0.23","33.0","18.2","13","8.86","11.3","4.15","18.90","0.10","0.8","0.051","3.04","16.4","21.2","2.23","1020","0.33","0.92","5.9","14.4","860","8.0","111.0","0.001","5.40","0.005","0.61","10.9","0.5","0.9","140.0","0.33","0.05","2.40","0.339","1.14","0.5","123","7.5","9.9","116","27.8"
"EVE-20-01","779223","28.3","29.05","0.75","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.245","Aristeo.Nuñez","09/03/2020","3.2","2.96","3.80","13.5","0.292","320","2.14","2.56","3.22","0.88","8.07","11.0","20","7.26","347","2.19","7.59","0.025","0.5","0.025","1.73","3.0","18.5","1.17","1080","2.43","0.07","1.2","20.1","270","78.0","145.0","0.001","2.23","0.005","0.83","4.8","0.5","0.3","60.5","0.06","0.64","1.08","0.100","1.04","0.7","40","24.1","7.2","77","20.8"
"EVE-20-01","779226","29.05","30","0.95","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","1.77","Aristeo.Nuñez","09/03/2020","1.3","1.44","9.36","15.5","0.200","800","3.60","1.84","1.46","0.64","21.2","17.2","34","13.15","211","3.94","19.90","0.09","1.2","0.050","4.27","7.5","22.6","1.83","807","1.39","0.60","4.1","37.6","690","161.0","209","0.001","1.77","0.01","1.11","12.0","1","0.9","100.5","0.26","0.52","2.52","0.323","2.08","1.4","108","28.2","5.9","125","47.8"
"EVE-20-01","779227","30","31.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.01","Aristeo.Nuñez","09/03/2020","1.2","1.11","8.45","29.7","0.862","970","4.78","2.91","1.64","0.31","54.0","8.9","22","11.05","97.4","4.14","18.70","0.16","1.2","0.079","4.45","34.6","16.6","0.69","546","4.82","0.16","7.8","10.7","980","155.5","189.0","0.001","3.02","0.01","1.30","11.9","0.5","1.6","211","0.52","2.52","6.38","0.325","1.39","1.5","75","54.1","17.1","48","46.9"
"EVE-20-01","779228","31.5","32.55","1.05","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.53","Aristeo.Nuñez","09/03/2020","1.0","1.00","7.50","2.3","0.021","590","2.79","0.20","3.37","0.17","37.9","13.7","17","16.05","18.0","3.85","18.35","0.10","1.3","0.047","3.78","13.8","23.1","1.30","799","1.14","0.75","8.1","13.7","740","12.8","172.0","0.001","2.53","0.005","0.63","9.8","1","1.2","97.4","0.49","0.11","4.72","0.307","1.73","1.0","89","20.5","12.9","104","53.1"
"EVE-20-01","779229","32.55","33.35","0.8","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.245","Aristeo.Nuñez","09/03/2020","1.4","1.46","6.25","2.7","0.189","550","3.31","7.43","2.56","0.32","42.2","9.6","18","6.98","21.7","3.02","14.10","0.10","1.1","0.038","3.14","22.8","13.1","0.42","1000","1.25","0.31","6.0","8.9","580","51.6","173.0","0.001","2.25","0.01","1.45","8.2","1","1.0","64.8","0.36","1.84","4.40","0.243","1.15","0.9","71","25.3","14.2","49","46.1"
"EVE-20-01","779231","33.35","35","1.65","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","6.16","Aristeo.Nuñez","09/03/2020","0.5","0.80","7.09","4.0","0.008","490","1.35","0.24","4.39","0.16","34.2","13.2","17","6.97","2.8","3.66","16.85","0.09","1.0","0.042","2.84","15.7","13.6","1.34","891","0.33","0.82","6.9","12.9","730","16.8","95.2","0.001","6.16","0.005","1.07","9.3","0.5","1.1","117.5","0.42","0.025","3.87","0.288","0.90","0.7","90","12.0","10.3","84","39.1"
"EVE-20-01","779232","35","36.5","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.425","Aristeo.Nuñez","09/03/2020","0.7","0.95","7.06","6.4","0.011","500","1.80","0.12","4.32","0.20","28.3","17.2","21","7.57","3.3","4.01","18.95","0.10","1.0","0.044","3.01","10.9","16.0","1.32","967","0.35","1.05","7.5","16.3","810","18.8","82.8","0.001","5.43","0.005","1.28","9.2","0.5","1.1","136.5","0.44","0.05","2.93","0.313","0.92","0.7","92","13.3","8.8","98","44.1"
"EVE-20-01","779233","36.5","38","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.575","Aristeo.Nuñez","09/03/2020","0.7","1.03","7.63","2.6","0.045","520","3.66","0.15","3.82","0.40","39.2","14.3","18","11.25","12.0","3.78","17.15","0.12","1.3","0.042","3.11","18.9","21.1","1.56","811","0.43","0.43","7.1","14.0","730","48.7","147.5","0.001","4.58","0.005","0.57","9.8","0.5","1.1","91.6","0.45","0.15","4.68","0.304","1.40","0.9","88","31.1","10.2","104","44.2"
"EVE-20-01","779234","38","39.5","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.39","Aristeo.Nuñez","09/03/2020","1.5","1.87","6.03","7.6","0.008","480","2.24","0.24","4.22","0.33","31.7","9.1","12","8.92","3.9","3.47","14.05","0.09","1.4","0.048","3.01","14.1","11.3","0.63","713","0.74","0.10","6.8","6.2","500","45.6","117.0","0.001","5.39","0.005","1.33","10.5","0.5","1.3","71.4","0.46","0.16","5.64","0.341","1.08","1.7","73","36.1","11.9","51","49.7"
"EVE-20-01","779235","39.5","40.5","1","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.35","Aristeo.Nuñez","09/03/2020","1.4","1.49","5.98","8.9","0.017","480","2.56","0.34","3.90","0.31","34.2","9.3","12","9.70","5.1","3.07","13.45","0.11","1.6","0.047","3.03","17.1","13.8","0.71","679","0.59","0.09","7.6","6.8","530","26.9","126.0","0.001","2.35","0.005","1.47","10.0","0.5","1.6","67.1","0.54","0.12","6.83","0.313","1.16","1.7","61","38.6","14.1","63","55.7"
"EVE-20-01","779236","40.5","41.2","0.7","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.275","Aristeo.Nuñez","09/03/2020","1.5","1.71","6.60","8.1","0.017","630","9.82","0.54","1.73","0.46","49.0","6.2","14","8.10","6.9","2.68","14.45","0.10","2.0","0.049","3.52","22.2","31.1","0.49","1060","1.27","0.08","8.2","5.1","460","16.4","184.0","0.001","2.27","0.005","2.04","9.4","0.5","1.7","47.1","0.54","0.49","10.25","0.263","1.17","2.2","60","64.0","15.8","25","70.1"
"EVE-20-01","779238","41.2","42.7","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.05","Aristeo.Nuñez","09/03/2020","1.4","1.43","6.52","7.3","0.070","570","6.11","0.35","3.02","0.39","47.3","7.7","14","10.05","16.5","2.73","14.75","0.13","2.2","0.043","3.41","25.0","25.3","0.71","917","0.86","0.08","8.4","6.7","510","39.7","180.5","0.001","3.04","0.005","1.59","9.9","1","1.7","85.7","0.58","0.34","9.57","0.284","1.25","2.3","62","44.7","19.0","56","78.1"
"EVE-20-01","779239","42.7","44.2","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.805","Aristeo.Nuñez","09/03/2020","1.5","1.40","6.38","7.0","0.038","490","1.96","0.13","3.36","0.21","41.9","8.7","12","10.10","2.4","2.70","13.55","0.09","2.0","0.042","3.16","19.4","14.3","0.81","661","0.62","0.09","8.3","6.7","490","21.6","128.0","0.001","3.80","0.005","0.81","9.0","0.5","1.6","60.7","0.61","0.28","9.97","0.267","1.11","2.0","47","22.1","15.3","68","71.9"
"EVE-20-01","779240","44.2","45.7","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.96","Aristeo.Nuñez","09/03/2020","1.3","1.34","6.71","4.8","0.028","470","1.97","0.18","3.99","0.29","37.9","11.7","14","9.79","5.9","3.39","13.95","0.10","1.8","0.049","3.06","19.6","19.4","1.06","820","0.81","0.08","7.4","8.2","500","25.3","149.0","0.001","3.95","0.005","1.29","12.6","0.5","1.5","62.1","0.49","0.27","8.07","0.353","1.07","2.0","105","33.3","16.1","101","62.3"
"EVE-20-01","779241","45.7","47.2","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.67","Aristeo.Nuñez","09/03/2020","2.0","2.11","6.75","5.2","0.109","530","1.94","0.12","2.69","0.51","44.3","8.5","12","11.75","8.2","2.86","14.60","0.12","2.1","0.042","3.27","21.2","14.6","0.89","610","0.84","0.09","7.9","6.8","470","21.4","162.5","0.001","3.66","0.005","0.84","10.6","0.5","1.5","59.3","0.55","0.81","9.71","0.277","1.15","2.2","67","29.0","15.5","78","72.4"
"EVE-20-01","779242","47.2","48.7","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.61","Aristeo.Nuñez","09/03/2020","2.6","2.61","7.94","5.8","0.274","640","2.67","1.22","2.17","0.41","40.3","11.6","16","17.20","18.1","4.32","16.75","0.13","2.9","0.052","3.96","26.3","21.1","1.26","600","1.18","0.10","7.9","8.9","590","40.7","234","0.001","3.61","0.01","1.44","17.3","1","1.8","101.0","0.53","2.04","9.14","0.431","1.50","3.3","144","44.8","18.5","115","95.3"
"EVE-20-01","779243","48.7","50.2","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","6.025","Aristeo.Nuñez","09/03/2020","3.4","3.61","6.33","6.8","0.167","530","2.17","0.61","2.48","0.53","41.1","7.9","12","11.10","13.7","2.66","13.20","0.12","3.1","0.040","3.16","22.8","15.1","0.84","676","1.01","0.08","7.5","6.6","440","28.9","182.0","0.001","6.06","0.005","0.98","10.2","0.5","1.5","49.4","0.50","1.85","9.71","0.262","1.06","2.9","51","34.0","17.5","79","111.5"
